description,edge_label,EdgeBetweenness,interaction,name,paper_id,selected,shared interaction,shared name,・ｿ
A higher COVID-19 rate had a significant positive effect on TB incidence.,covid_rate_accelerates_tb,3192,Positive,COVID-19 (Positive) Tuberculosis,10.1186_s12879-023-08627-9,FALSE,Positive,COVID-19 (Positive) Tuberculosis,81
A higher TB rate had a significant positive effect on COVID-19 incidence.,tb_rate_accelerates_covid_19,2740,Positive,Tuberculosis (Positive) COVID-19,10.1186_s12879-023-08627-9,FALSE,Positive,Tuberculosis (Positive) COVID-19,77
Knowledge of malaria is used for diagnosis.,misclassifies_malaria,2121,Negative,Malaria (Negative) Malaria misclassification,10.1186_s12936-025-05244-6,FALSE,Negative,Malaria (Negative) Malaria misclassification,146
Malaria is associated with anaemia.,is_associated_with_anaemia,2121,Positive,Malaria (Positive) Anaemia,10.1186_s12936-024-05238-w,FALSE,Positive,Malaria (Positive) Anaemia,145
The results from the predictions indicate a 92.5% prevalence of anaemia among malaria positive children.,predicts_anaemia,2121,Positive,Malaria (Positive) Anaemia,10.1186_s12936-021-03948-z,FALSE,Positive,Malaria (Positive) Anaemia,128
Acute and repeated malaria infections over time have a detrimental effect on haemoglobin levels.,cases_malaria_anemia,2121,Negative,Malaria (Negative) Anaemia,10.1186_s12936-021-03948-z,FALSE,Negative,Malaria (Negative) Anaemia,127
Treatment of latent tuberculosis infection (LTBI) is effective for preventing progression to active TB.,prevents_TB_progression,2111,Positive,Tuberculosis (Positive) No LTBI,10.1371_journal.pone.0225744,FALSE,Positive,Tuberculosis (Positive) No LTBI,223
Tuberculosis infection leads to genome alteration with DNA damage.,leads_to_DNA_damage,2111,Negative,Tuberculosis (Negative) Oxidative stress,10.1186_s12885-020-06891-5,FALSE,Negative,Tuberculosis (Negative) Oxidative stress,84
TB patients' treatment can lead to psychological distress.,promotes_distress,2111,Negative,Tuberculosis (Negative) Psychological distress,10.1186_s12879-021-06284-4,FALSE,Negative,Tuberculosis (Negative) Psychological distress,71
Participants gave informed consent to participate in the study before taking part.,takes_part_in_leads_to_airflow_obstruction,2111,Positive,Tuberculosis (Positive) Airflow obstruction,10.1136_thoraxjnl-2021-218345,FALSE,Positive,Tuberculosis (Positive) Airflow obstruction,60
Higher odds of LTBI among individuals with recent TB contact.,increases,2111,Positive,Tuberculosis (Positive) LTBI,10.1136_bmjgh-2020-003550,FALSE,Positive,Tuberculosis (Positive) LTBI,56
The total indirect effect of institutional support together with resilience was statistically significant.,partially_mediates,2111,Negative,COVID-19 (Negative) psychological distress,10.1007_s10461-020-03068-w,FALSE,Negative,COVID-19 (Negative) psychological distress,0
The 窶歪lassical窶・attribution framework refers to the attribution of changes in the climate system to anthropogenic forcing.,drives_changes_in_climate_system,2080,Positive,Climatic drivers (Positive) Climate change,https___doi.org_10.5194_gmd-14-5269-2021,FALSE,Positive,Climatic drivers (Positive) Climate change,378
TB relapse increases unfavorable outcomes for DM-TB comorbidity.,increases_unfavorable_outcomes,2074,Positive,Tuberculosis (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Tuberculosis (Positive) Unfavorable outcomes,46
Patients earning less than the regional minimum wage were more likely to develop MDR-TB.,increases_mdr_tb_risk,1995,Positive,Low income (Positive) Tuberculosis,10.1265_ehpm.24-00169,FALSE,Positive,Low income (Positive) Tuberculosis,191
The corresponding relative risks increase by 1.4% (95% CI 0.6窶・.3%) and 2.5% (95% CI 1.1窶・.0%) when the variable increases by one unit.,increases_tuberculosis,1971,Positive,GDP (Positive) Tuberculosis,10.1038_s41598-021-85781-7,FALSE,Positive,GDP (Positive) Tuberculosis,22
Weather shocks can cause widespread loss of income for the households who own them.,widens_loss_income,1836,Negative,Weather shocks (Negative) Low income,https___doi.org_10.1007_s11111-013-0201-0,FALSE,Negative,Weather shocks (Negative) Low income,300
A higher age (竕･ 65 years) had a significant negative effect on COVID-19 incidence.,age_increases_decreases_covid_19,1368,Negative,Age (Negative) COVID-19,10.1186_s12879-023-08627-9,FALSE,Negative,Age (Negative) COVID-19,80
Degrees of poverty within low socio-economic setting may contribute to increased TB transmission.,contributes_to,1287,Positive,Poverty (Positive) Tuberculosis,10.1186_s12879-020-4828-z,FALSE,Positive,Poverty (Positive) Tuberculosis,66
Climate change leads to millions of people in SSA falling into poverty.,leads_to_poverty,1261,Positive,Climate change (Positive) Poverty,10.1007_s10461-024-04280-8,FALSE,Positive,Climate change (Positive) Poverty,3
Having no/some primary education increased the risk for HIV and syphilis co-infection.,increases_risk,1212,Positive,Low education (Positive) HIV,10.1186_s12879-021-06668-6,FALSE,Positive,Low education (Positive) HIV,74
A higher proportion of literacy in the neighbourhood had a significant positive effect on COVID-19 incidence.,literacy_increases_covid_19,1206,Positive,Proportion of literacy in neighbourhood (Positive) COVID-19,10.1186_s12879-023-08627-9,FALSE,Positive,Proportion of literacy in neighbourhood (Positive) COVID-19,78
"""A decreasing trend in the percentage of deaths from TB was observed among married patients (47.7%",853),1170, n = 9,Marital status ( n = 9) Tuberculosis,10.3389_fpubh.2021.691006,FALSE, n = 9,Marital status ( n = 9) Tuberculosis,262
Divorced or widowed marital status was found to be associated with a higher risk of MDR-TB.,increases_mdr_tb_risk,1170,Positive,Marital status (Positive) Tuberculosis,10.1265_ehpm.24-00169,FALSE,Positive,Marital status (Positive) Tuberculosis,193
Single marital status was found to be associated with a higher risk of MDR-TB.,increases_mdr_tb_risk,1170,Positive,Marital status (Positive) Tuberculosis,10.1265_ehpm.24-00169,FALSE,Positive,Marital status (Positive) Tuberculosis,192
"""La enfermedad pulmonar crﾃｳnica (EPOC) mostrﾃｳ un aumento de cuatro veces el riesgo de desarrollar Covid-19 severo (OR 4.38",Positive,1134," IC95% 2.34-8.20).""","Enfermedad pulmonar crﾃｳnica ( IC95% 2.34-8.20)."") COVID-19",10.21149_11984,FALSE," IC95% 2.34-8.20).""","Enfermedad pulmonar crﾃｳnica ( IC95% 2.34-8.20)."") COVID-19",254
The corresponding relative risks increase by 1.8% (95% CI 0.1窶・.4%) and 2.5% (95% CI 1.1窶・.0%) when the variable increases by one unit.,increases_tuberculosis,1125,Positive,Sunshine duration (Positive) Tuberculosis,10.1038_s41598-021-85781-7,FALSE,Positive,Sunshine duration (Positive) Tuberculosis,21
Many studies confirm a unidirectional causality running from international tourism to real GDP.,international_tourism_impacts_gdp,1122,Positive,International tourism (Positive) GDP,https___doi.org_10.1016_j.annals.2012.05.023,FALSE,Positive,International tourism (Positive) GDP,316
These factors are crucial for crafting effective dengue control strategies.,crafts_control_strategies,1055,Positive,Dengue (Positive) Dengue control strategies,10.1038_s41598-024-67909-7,FALSE,Positive,Dengue (Positive) Dengue control strategies,37
Beijing lineage窶兎xposed contacts were 7 times more likely than those exposed to the M. africanum lineage to progress to TB after 2 years of follow-up,beijing_lineage_exposure_tb_progression,1035,Positive,Household exposure to Beijing lineage (Positive) Tuberculosis,10.3201_eid2603.191314,FALSE,Positive,Household exposure to Beijing lineage (Positive) Tuberculosis,260
The posterior means of the regression coefficients are 竏・0.045 and the relative risks reduce by 4.4% (95% CI 3.1窶・.8%) when the variable increases by one unit.,reduces_tuberculosis,1017,Negative,Mean temperature (Negative) Tuberculosis,10.1038_s41598-021-85781-7,FALSE,Negative,Mean temperature (Negative) Tuberculosis,23
"""A decreasing trend in the percentage of deaths from TB was observed among patients with singles (55.1%",115),999, n = 12,Year of death ( n = 12) Tuberculosis,10.3389_fpubh.2021.691006,FALSE, n = 12,Year of death ( n = 12) Tuberculosis,261
The posterior means of the regression coefficients are 竏・0.268 and the relative risks reduce by 23.3% (95% CI 12.5窶・3.6%) when the variable increases by one unit.,reduces_tuberculosis,990,Negative,Mean air pressure (Negative) Tuberculosis,10.1038_s41598-021-85781-7,FALSE,Negative,Mean air pressure (Negative) Tuberculosis,24
The fear of acquiring COVID-19 and experiencing additional complications due to HIV+ status may contribute to increased anxiety in individuals with HIV.,fear_of_complications_contributes_to_anxiety,822,Positive,HIV (Positive) Anxiety,10.3906_sag-2006-140,FALSE,Positive,HIV (Positive) Anxiety,273
HIV infection is the underlying cause of increasing risk of ARI.,increases_risk_of_ari,822,Negative,HIV (Negative) Increasing risk of ARI,10.1136_bmjopen-2023-071874,FALSE,Negative,HIV (Negative) Increasing risk of ARI,59
HIV infection was a cause of death by suicide.,is_a_cause_of,822,Positive,HIV (Positive) Suicide,10.1038_s41598-024-82101-7,FALSE,Positive,HIV (Positive) Suicide,41
Malaria infection was confirmed using thick blood smears and/or rapid diagnostic antigen tests (SD BIOLINE Malaria Ag...,hiv_positive_risk,822,Positive,HIV (Positive) Anaemia,10.1017_S0950268822000103,FALSE,Positive,HIV (Positive) Anaemia,15
HIV-positive status is associated with unfavorable outcomes for DM-TB comorbidity.,associated_with_unfavorable_outcomes,785,Positive,HIV (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,HIV (Positive) Unfavorable outcomes,47
Unidirectional causality from CO2 emissions to energy consumption.,causes_energy_consumption,689,Positive,CO2 emissions (Positive) Energy consumption,https___doi.org_10.1007_s42452-020-03705-y,FALSE,Positive,CO2 emissions (Positive) Energy consumption,311
Bidirectional causality between economic growth and CO2 emissions.,bidirectional_causality,680,Both,Economic growth (Both) CO2 emissions,https___doi.org_10.1007_s42452-020-03705-y,FALSE,Both,Economic growth (Both) CO2 emissions,312
Changes in damages driven by changes in exposure or vulnerability can be separated from the contribution of climate change using process-based climate impact models.,drives_changes_in_damages,636,Unknown,Vulnerability (Unknown) Damages,https___doi.org_10.5194_gmd-14-5269-2021,FALSE,Unknown,Vulnerability (Unknown) Damages,375
Changing the weight for the number of relationships a person already has was changed from 0 to 竏・0.05.,intervenes_to_reduce_hiv_incidence,630,Negative,Lower promiscuity from 1980 onwards (Negative) HIV,10.1038_s41598-021-94289-z,FALSE,Negative,Lower promiscuity from 1980 onwards (Negative) HIV,25
The proportion of male pending short links that are fulfilled by females was changed from 1 to 0.7.,intervenes_to_reduce_hiv_incidence,594,Negative,The proportion of male pending short links that are fulfilled by females (Negative) HIV,10.1038_s41598-021-94289-z,FALSE,Negative,The proportion of male pending short links that are fulfilled by females (Negative) HIV,26
The final results using logistic regression indicated that low income was significantly associated with DENV infection.,negatively_affects_dengue_fever_prevention,570,Negative,Low income (Negative) Dengue,10.1186_s12889-020-08656-y,FALSE,Negative,Low income (Negative) Dengue,88
A lower proportion of low monthly income (< minimum wage) had a significant negative effect on COVID-19 incidence.,low_income_decreases_covid_19,570,Negative,Low income (Negative) COVID-19,10.1186_s12879-023-08627-9,FALSE,Negative,Low income (Negative) COVID-19,79
"""According to previous research records","""",531, the level of social development is an important factor affecting the incidence,Social development ( the level of social development is an important factor affecting the incidence) Tuberculosis,10.1186_s12889-024-20664-w,FALSE, the level of social development is an important factor affecting the incidence,Social development ( the level of social development is an important factor affecting the incidence) Tuberculosis,107
Extreme social inequaliti...,social_inequalities_impacts_health_education,530,Negative,Extreme social inequalities (Negative) Low education,10.5644_ama2006-124.296,FALSE,Negative,Extreme social inequalities (Negative) Low education,281
The aim of this study was to determine the risk factors associated with positive malaria RDT results.,is_associated_with,525,Unknown,Wealth index (Unknown) Malaria,10.1186_s12936-025-05289-7,FALSE,Unknown,Wealth index (Unknown) Malaria,149
"""Programs and interventions focusing on control of HIV/AIDS should focus on widowed","use of post/pre-exposure prophylaxis and abstinence from sexual activities to prevent contracting HIV or other sexually transmitted infections (STIs).""",498, divorced and separated individuals as well as promoting appropriate prevention strategies such as condom use,Household wealth index ( divorced and separated individuals as well as promoting appropriate prevention strategies such as condom use) HIV,10.1186_s12889-020-09278-0,FALSE, divorced and separated individuals as well as promoting appropriate prevention strategies such as condom use,Household wealth index ( divorced and separated individuals as well as promoting appropriate prevention strategies such as condom use) HIV,98
Marrying someone with TB increases the risk of developing LTBI if not treated.,increases_LTBI_risk,486,Positive,Having a spouse with Tuberculosis (Positive) Tuberculosis,10.1371_journal.pone.0225744,FALSE,Positive,Having a spouse with Tuberculosis (Positive) Tuberculosis,225
Our results also confirmed a significant positive association between the number of lifetime sexual partners and increased chances of HIV infection. Lifetime sexual partners reported may be a proxy for sexual behavior and lifetime sexual history.,increases_hiv_risk,486,Positive,Lifetime sexual partners (Positive) HIV,10.1186_s12889-020-09278-0,FALSE,Positive,Lifetime sexual partners (Positive) HIV,99
Individuals who's aged < 5 was 86% more likely to have Plasmodium infection.,decreases_mosquito_infection,456,Negative,Age (Negative) Malaria,10.1186_s12936-024-04965-4,FALSE,Negative,Age (Negative) Malaria,132
"""In our study",Unknown,456," we have the following independent variables:...""","Age ( we have the following independent variables:..."") Malaria",10.1186_s12889-025-22211-7,FALSE," we have the following independent variables:...""","Age ( we have the following independent variables:..."") Malaria",114
"""u",Unknown,456," with basis function following a Gaussian process.""","Age ( with basis function following a Gaussian process."") Malaria",10.1038_s41598-021-95959-8,FALSE," with basis function following a Gaussian process.""","Age ( with basis function following a Gaussian process."") Malaria",28
Experiencing all types of IPV increases HIV infection.,intimate_partner_violence_hiv_infection,438,Negative,Experiencing all types of IPV (Negative) HIV,10.1186_s12889-021-12100-0,FALSE,Negative,Experiencing all types of IPV (Negative) HIV,102
Addressing these underlying socio-economic determinants is essential for developing holistic malaria control strategies.,address_mosquito_breeding,429,Positive,Household size (Positive) Malaria,10.1186_s12936-024-04939-6,FALSE,Positive,Household size (Positive) Malaria,130
Family poverty has proven to be a major factor in childhood deaths attributed to malaria.,major_factor_in_childhood_deaths,429,Positive,Poverty (Positive) Malaria,10.4081_gh.2020.819,FALSE,Positive,Poverty (Positive) Malaria,274
Tackling the issue of unemployment and food insecurity improves physical HRQoL.,impedes_physical_health,418,Negative,Unemployment (Negative) GPH,10.1186_s12955-021-01702-2,FALSE,Negative,Unemployment (Negative) GPH,160
The correlation between household size and malaria risk underscores the broader implications of socio-demographic factors in shaping malaria transmission dynamics within communities.,makes_malaria_status,414,Both,Type of mosquito net (Both) Malaria,10.1186_s12936-024-04939-6,FALSE,Both,Type of mosquito net (Both) Malaria,131
Fever during survey time was associated with a decreased risk of Plasmodium infection.,increases_resistance_to_malaria,408,Positive,Fever (Positive) Malaria,10.1186_s12936-024-04965-4,FALSE,Positive,Fever (Positive) Malaria,133
Low education levels are associated with unemployment...,low_education_leads_to_unemployment,404,Negative,Low education (Negative) Unemployment,10.1186_s12879-021-05967-2,FALSE,Negative,Low education (Negative) Unemployment,68
FHHs may demonstrate more effective malaria prevention measures than MHHs.,more_effective_malaria_prevention,399,Positive,MHHs (Positive) Malaria,10.1186_s12936-024-04997-w,FALSE,Positive,MHHs (Positive) Malaria,134
Yes 1.21 (0.87窶・.68) 0.269,diarrhea_malaria_infection,393,Unknown,Diarrhea (Unknown) Malaria,10.1186_s12936-024-05185-6,FALSE,Unknown,Diarrhea (Unknown) Malaria,136
Drought increases poverty and food insecurity.,increases_poverty_food_insecurity,390,Positive,Droughts and weather extremes (Positive) Poverty,10.1007_s10461-024-04280-8,FALSE,Positive,Droughts and weather extremes (Positive) Poverty,5
Tumour-promoting responses and seeds neoplastic microenvironments caused by chronic inflammation.,causes_tumour_promotion,372,Positive,Chronic inflammation (Positive) Cancer,10.1186_s12885-020-06891-5,FALSE,Positive,Chronic inflammation (Positive) Cancer,83
Multiple imputations by chained equations (MICE) is a powerful and flexible method for handling missing data...,multiple_imputation_handles_missing_data,352,Positive,Mother's education level (Positive) Wealth index,10.1186_s12936-025-05289-7,FALSE,Positive,Mother's education level (Positive) Wealth index,148
Bidirectional causality between CO2 emissions and economic growth.,bidirectional_causality,349,Both,CO2 emissions (Both) Economic growth,https___doi.org_10.1007_s42452-020-03705-y,FALSE,Both,CO2 emissions (Both) Economic growth,310
Unidirectional causality from economic growth to trade openness.,cases_trade_openness,348,Positive,Trade openness (Positive) Economic growth,https___doi.org_10.1007_s42452-020-03705-y,FALSE,Positive,Trade openness (Positive) Economic growth,313
4.52 (95% C.I) 1.74,had_higher_malaria_rate,342,Positive,Age > 14 (Positive) Malaria,10.1186_s12936-024-05228-y,FALSE,Positive,Age > 14 (Positive) Malaria,140
Within-region Gini coefficients are higher when damages are inversely proportional to income.,increases_inequality,336,Positive,Damages (Positive) Inequality,https___doi.org_10.1038_s41558-022-01401-w,FALSE,Positive,Damages (Positive) Inequality,338
The dampening effect of climate-induced income reduction on migration goes down when the shock is greater.,dampens_migration,336,Negative,Damages (Negative) Number of emigrants from lowest income quintile,https___doi.org_10.1038_s41558-022-01401-w,FALSE,Negative,Damages (Negative) Number of emigrants from lowest income quintile,337
Positive correlation between gross capital formation and CO2 emissions.,pos_correlation,336,Unknown,Gross capital formation (Unknown) CO2 emissions,https___doi.org_10.1007_s42452-020-03705-y,FALSE,Unknown,Gross capital formation (Unknown) CO2 emissions,314
Negative comovement between foreign direct investment and CO2 emissions.,neg_comovement,324,Negative,Foreign direct investment (Negative) CO2 emissions,https___doi.org_10.1007_s42452-020-03705-y,FALSE,Negative,Foreign direct investment (Negative) CO2 emissions,315
Table 2 Association between participants窶・characteristics and malaria rapid diagnostic test (RDT) results.,is_associated_with_malaria,321,Unknown,Household head occupation (Unknown) Malaria,10.1186_s12936-024-05238-w,FALSE,Unknown,Household head occupation (Unknown) Malaria,142
Table 2 Association between participants窶・characteristics and malaria rapid diagnostic test (RDT) results.,is_associated_with_malaria,309,Unknown,Household head education (Unknown) Malaria,10.1186_s12936-024-05238-w,FALSE,Unknown,Household head education (Unknown) Malaria,143
Age was found to be a significant risk factor for DENV infection.,increases_dengue_fever_infection,304,Positive,Age (Positive) Dengue,10.1186_s12889-020-08656-y,FALSE,Positive,Age (Positive) Dengue,87
Alcohol consumption was found to be associated with a higher risk of MDR-TB.,increases_mdr_tb_risk,296,Positive,Alcohol (Positive) Tuberculosis,10.1265_ehpm.24-00169,FALSE,Positive,Alcohol (Positive) Tuberculosis,195
Table 2 Association between participants窶・characteristics and malaria rapid diagnostic test (RDT) results.,is_associated_with_malaria,294,Positive,Household wealth tertile (Positive) Malaria,10.1186_s12936-024-05238-w,FALSE,Positive,Household wealth tertile (Positive) Malaria,144
The impact attribution framework could then be used to approximate the contribution of climate change to observed trends in reported damages.,contributes_to_observed_damages,291,Positive,Climate change (Positive) Damages,https___doi.org_10.5194_gmd-14-5269-2021,FALSE,Positive,Climate change (Positive) Damages,373
Temperature increases reduce per capita output growth in the short-to medium-term (level eﾂ､ects).,has_level_effects,291,Unknown,Climate change (Unknown) Economic growth,https___doi.org_10.3386_w26167,FALSE,Unknown,Climate change (Unknown) Economic growth,362
Changes in labour productivity slow investment and damage human health.,effects_macro_economy,291,Negative,Climate change (Negative) Economic growth,https___doi.org_10.3386_w26167,FALSE,Negative,Climate change (Negative) Economic growth,361
The SES had a linear relationship and therefore was modelled using a simple parametric term.,influences_malaria_infection,288,Positive,SES (Positive) Malaria,10.1038_s41598-021-95959-8,FALSE,Positive,SES (Positive) Malaria,27
v(NDVI i) + w (Li),influences_malaria_infection,276,Positive,Vegetation density (Positive) Malaria,10.1038_s41598-021-95959-8,FALSE,Positive,Vegetation density (Positive) Malaria,29
Rising temperatures increase dengue risk.,increases_dengue_risk,274,Positive,Minimum yearly temperature (Positive) Dengue,10.1371_journal.pone.0308271,FALSE,Positive,Minimum yearly temperature (Positive) Dengue,249
An increase of one standard deviation in % Mayan population decreased the risk of dengue fever incidence by a factor of 0.52.,decreases_dengue_risk,270,Negative,% Mayan population (Negative) Dengue,10.1371_journal.pone.0308271,FALSE,Negative,% Mayan population (Negative) Dengue,251
"""The occurrence of an extreme natural event concurrent with economic marginality can result in double exposure (O'Brien et al. 2004). Therefore","stressors cannot be considered in isolation (Tobin and Montz 1997).""",256, in order to truly understand hazards,Population density ( in order to truly understand hazards) Vulnerability,https___doi.org_10.1017_9781316651148,FALSE, in order to truly understand hazards,Population density ( in order to truly understand hazards) Vulnerability,327
"""A higher percentage of deaths from TB was observed among students",and unemployed individuals (76.5%,252, homemakers,Occupation ( homemakers) Tuberculosis,10.3389_fpubh.2021.691006,FALSE, homemakers,Occupation ( homemakers) Tuberculosis,263
"""Social factors",Positive,244," resulting in vulnerability via unequal exposure to hazards (Watts and Bohle 1993).""","Unequal access to resources ( resulting in vulnerability via unequal exposure to hazards (Watts and Bohle 1993)."") Vulnerability",https___doi.org_10.1017_9781316651148,FALSE," resulting in vulnerability via unequal exposure to hazards (Watts and Bohle 1993).""","Unequal access to resources ( resulting in vulnerability via unequal exposure to hazards (Watts and Bohle 1993)."") Vulnerability",330
Cancer causes weight loss due to loss of appetite or increased metabolic demands.,causes_weight_loss,244,Negative,Cancer (Negative) Weight loss,https___doi.org_10.1007_s11912-016-0539-4,FALSE,Negative,Cancer (Negative) Weight loss,304
Cancer incidence is a collider variable because it is caused by both obesity and other risk factors.,collides_with_risk_factors,244,Positive,Cancer (Positive) Obesity,https___doi.org_10.1007_s11912-016-0539-4,FALSE,Positive,Cancer (Positive) Obesity,302
